time,uname,comment,star,title,support,sentiment_score
"
                    2014-03-12 00:41:51
                ",m2,在那个时代想出这些桥段真的算是不容易，还有那个这么萌的小僵尸,3,还行,0,0.9741226352024651
"
                    2009-09-29 18:13:43
                ",张天师,中国僵尸PK外国吸血鬼,3,还行,1,0.965176826705985
"
                    2010-11-01 11:38:14
                ",有鱼氏,看看都不错，扯了点,3,还行,0,0.6829806039988487
"
                    2013-11-22 14:34:55
                ",你大麻分vb一半,2013-11-22 这次一般啊,2,较差,0,0.552808957604335
"
                    2013-12-31 10:05:49
                ",Rated,不论是搞笑上还是动作戏上都不如僵尸先生，而且剧情有点乱。,3,还行,0,0.5164635942126476
"
                    2024-02-17 22:19:23
                ",蜂唐罗隐,【C+】 搞笑是搞笑的 就是剧情上实在差点意思呀 小鬼确实可爱,3,还行,0,0.4755762691316623
"
                    2010-05-02 13:48:02
                ",solitude,但看无妨！,3,还行,0,0.8849800591920016
"
                    2010-06-26 21:20:30
                ",夜露死苦,小僵尸无敌～,4,推荐,0,0.876226181373381
"
                    2022-05-16 20:18:24
                ",C.Y,"记忆中比较深的是挖到干尸表妹被咬的，模模糊糊还记得表妹是个美女，结果现在发现居然是吴君如😂😂

林正英的阵法总是很有想象力，剧情方面在90分钟里就显得有点杂乱了……
（ps：那几个修女挺好看，但貌似都不出名……）",3,还行,0,0.9863899275432066
"
                    2012-10-21 21:59:20
                ",弥西,武打场面好牛逼啊。。,4,推荐,1,0.8370392008811691
"
                    2022-07-24 16:18:50
                ",zhang 2nd,做师父的，太不容易了，被沙雕徒弟坑了又坑,4,推荐,0,0.15878536563712675
"
                    2014-03-08 15:00:04
                ",ᠴᠣᠭᠲᠤ🔒,可爱,3,还行,0,0.8088888888888889
"
                    2024-03-05 02:42:24
                ",断肠人在刷牙,没有其他几部好看，cult气质是拉满了，但情节贼烂，只有动作戏可看。,2,较差,0,0.785683389072754
"
                    2010-09-15 22:35:22
                ",竹傲风,林正英真的很有型。,3,还行,2,0.8977018078404094
"
                    2022-02-06 22:44:38
                ",空条奈奈,茅山道士大战西方吸血鬼，而且没有用十字架大蒜，都是自己的阵法符咒和拳脚，那个拉吸血鬼下土的大力士阵好精彩，不过很短暂也没成功。可惜结尾就两只蛤蟆出来说拜拜，女吸血鬼，还有吴君如也没有交代，我还期待吸血鬼化的她和阿威有搞笑戏份呢。,4,推荐,1,0.9999999991856072
"
                    2013-12-29 10:47:04
                ",炘少,好片不需多言,4,推荐,2,0.4535544762709868
"
                    2012-06-10 17:57:19
                ",Léon,结尾好突兀,3,还行,1,0.7475227762777409
"
                    2011-08-23 13:53:42
                ",ReMinD,"中国道术打洋货就是行不通啊。哈哈。
小僵尸好可爱的说。",4,推荐,1,0.8541511341348278
"
                    2012-10-10 11:50:01
                ",hyzhang,加入了一些西方元素,3,还行,0,0.8372546749564144
"
                    2018-12-19 03:57:55
                ",柠檬OVO,茅山道士对决夕阳僵尸，九叔还是很有创意的！,5,力荐,1,0.9949628920532293
"
                    2011-10-08 20:56:26
                ",黄小鬼儿,很小的时候看过 那个时候觉得只要是林正英的鬼片都好看 永远的大师 永远的道长,5,力荐,1,0.9994413194181614
"
                    2014-06-04 22:10:17
                ",方枪枪,小僵尸比较可爱,4,推荐,0,0.7221632978107929
"
                    2011-06-27 19:00:44
                ",轮廓,小僵尸瞬间萌死我了~~,4,推荐,0,0.9446160629234474
"
                    2011-08-05 00:31:49
                ",無邊無際,多种元素的喜剧恐怖片。,3,还行,0,0.714043611780864
"
                    2018-03-05 23:30:32
                ",Lonely,7.0/10 分。2018.03.05，第一次看。日本归为僵尸先生（灵幻道士）第五部。小僵尸又出来了，挺萌的。。。两个徒弟实在太蠢了。。。最后斗法的那一段还可以。。。,3,还行,0,0.843648229579423
"
                    2010-09-15 04:06:06
                ",逸书🐯,"林正英的“一字眉、冷幽默、身手敏捷、連画符念咒都有款有型”的茅山道長形象最是深入人心。


",4,推荐,0,0.7256427044302285
"
                    2012-09-30 20:10:40
                ",来福胶泥,看困了,3,还行,0,0.5618565332226944
"
                    2011-12-23 20:13:28
                ",髦髦,★★★☆ 这部记忆比较深，最近又看了一次，楼光南是这类电影常客,4,推荐,2,0.9670471792214831
"
                    2019-05-25 13:51:07
                ",seeku,林正英的僵尸片是当年港剧的一股独特的风格！小僵尸太可爱了！,4,推荐,1,0.9975148849850543
"
                    2007-08-14 22:18:22
                ",四月物语,蔡澜监制。林雪出场两个短暂镜头，居然连cast里都无名字。这集穿插了西洋僵尸和中国茅山术两种法术。还拿修女开涮。吴君如的性感僵尸扮相也很棒。,3,还行,1,0.9997483564259881
"
                    2022-10-07 12:35:09
                ",Indecent time,英叔在这片的投入和创新是有目共睹的，可惜这部出来的时候僵尸片已经在下滑期了，并未得到这片应得的票房成绩,4,推荐,0,0.9964705781315152
"
                    2022-08-27 17:24:43
                ",深夜的阿斯伯格,道士灭吸血鬼的恶趣味也就香港人想的出来,3,还行,0,0.9791084897431315
"
                    2020-04-22 23:56:10
                ",一贫,东方道士大战西方吸血鬼。,3,还行,0,0.9767821145424915
"
                    2012-12-03 19:32:02
                ",翻译赵灿,应该是小时候看过,4,推荐,0,0.8971196651667275
"
                    2022-12-02 22:53:50
                ",海德文,僵尸皮鞋里跳出两只青蛙说拜拜，经典结束镜头！,4,推荐,0,0.8691202512199259
"
                    2011-08-14 08:52:08
                ",阿卜,！！！！,4,推荐,2,0.2295081967213113
"
                    2020-01-25 20:04:12
                ",山下猫,两半，小僵尸太可爱，师徒情现在电影少见。后面楼南光吴君如的惊吓就比较老派。用英叔一本正经的童子身做笑料倒是不错的点,3,还行,0,0.9999323117473162
"
                    2018-06-30 23:27:26
                ",海山·野火,动作设计非常巧妙,3,还行,0,0.9682807630199638
"
                    2024-02-15 19:27:54
                ",Lumity,线多人杂，最后算是草草收尾,3,还行,0,0.972335813269438
"
                    2012-01-28 08:01:08
                ",小卫,我以前真的很怕僵屍,3,还行,0,0.41192760303732445
"
                    2014-04-03 08:53:35
                ",sabrina,久违的年代感。僵尸片标配就是帅气的师傅配逗逼的徒弟。,3,还行,0,0.060092740804064015
"
                    2017-07-17 19:49:27
                ",左胸上的吸盘,勉强及格。因为小僵尸的存在，这个是《灵幻先生》还是《僵尸家族》的续集？作为林正英导演处女作，他本人在片里是十分卖力的，那些武行动作和道具的制作都很用心。班底仍然是僵尸片的成熟配置，各安其位，但对手从僵尸变成了西洋吸血鬼，林正宏演的亦徒亦吉祥物的小僵尸可爱。整个节奏控的挺好,3,还行,0,0.9999999933788122
"
                    2021-12-04 21:23:53
                ",乍暖,6.5/10。中西结合的创新，吸血鬼大战茅山道士。修女躲蝙蝠一段非常《群鸟》，最后大战淹没妖魔后跳出两只青蛙写着“拜拜”笑死人。配乐很抢戏，用在西部片里都毫无违和感。为了区别僵尸先生所以改成一字眉吗？,3,还行,1,0.9999995823098881
"
                    2021-07-11 21:58:03
                ",种桃仙子,故事设定，搞笑小桥段和最后的决斗都很精彩，过分联想的话还颇有点民族主义的味道在，东方道术大破西洋吸血鬼，真的厉害,4,推荐,0,0.9993078667173945
"
                    2012-02-22 14:52:50
                ",荒林,小学看碟时光,4,推荐,1,0.979042531151719
"
                    2019-01-14 11:41:48
                ",八月丶,英叔的僵尸电影都挺好看的,4,推荐,1,0.9861805641406148
"
                    2012-03-31 18:51:18
                ",鴨子先生,罗各庄 李老师 ,3,还行,0,0.8103362393266959
"
                    2010-04-28 18:10:07
                ",Crazy Wen,结局有点儿仓促··,4,推荐,2,0.9650215842049502
"
                    2019-12-26 16:19:23
                ",淋,林正英大叔太可了,3,还行,0,0.8632092435574383
"
                    2012-04-07 07:14:00
                ",悬浮的毛绒馅饼,黑历史,5,力荐,0,0.8408770621487649
"
                    2018-12-19 03:57:55
                ",柠檬OVO,茅山道士对决夕阳僵尸，九叔还是很有创意的！,5,力荐,1,0.9949628920532293
"
                    2011-10-08 20:56:26
                ",黄小鬼儿,很小的时候看过 那个时候觉得只要是林正英的鬼片都好看 永远的大师 永远的道长,5,力荐,1,0.9994413194181614
"
                    2019-05-08 15:49:29
                ",蔡子菘,一代仙骨，是梦魇也是梦魂,4,推荐,2,0.849155292415391
"
                    2010-12-16 20:32:38
                ",叶藏.!!张寄奴,原来小时候看过，重看也还蛮好看的,3,还行,0,0.9684691538423279
"
                    2014-03-06 11:33:38
                ",漫漫鱼,林正英自导自演，幽默又不失恐怖气氛。,2,较差,0,0.9796712057671236
"
                    2024-03-05 02:42:24
                ",断肠人在刷牙,没有其他几部好看，cult气质是拉满了，但情节贼烂，只有动作戏可看。,3,还行,0,0.785683389072754
"
                    2014-02-25 17:55:10
                ",hunsey,小僵尸萌翻了,3,还行,0,0.6035772813377094
"
                    2013-08-09 11:59:48
                ",火原和树,果然僵尸片还是得看英叔的，就是有那么一种帅气。虽然本片的质量并不算上乘，感觉英叔还是好好好演得好，做导演感觉差了点功夫，虽然本片力求新意，中西大战，但却没发挥出来。找了个小僵尸卖萌，的确很可爱。但有点虎头蛇尾，最后结局很仓促。笑点不足，白有吴君如楼南光两大笑匠坐阵，却没发挥出来,4,推荐,0,0.9999999994819435
"
                    2017-11-18 15:30:18
                ",兔猻咬你腮幫子,茅山術大戰吸血鬼，哥特吳君如玩SM，結尾暴力膜……,3,还行,1,0.9994045581864709
"
                    2011-12-27 00:22:05
                ",唐多令,想起了许冠英。,4,推荐,0,0.7831077979452729
"
                    2011-11-24 02:07:53
                ",铁驴,英叔自己导,4,推荐,0,0.8038341697909909
"
                    2011-08-18 23:28:31
                ",BLAKE,1. 以为自己阅尽HK僵尸片，居然有颗这么亮的遗嘱 2.一看就知道是为后作留伏笔的作品,3,还行,1,0.36222354951070257
"
                    2023-12-02 21:08:23
                ",龙皇,动作标准，道具专业，仪式感强，打斗精彩，经典港产僵尸片。国内僵尸女鬼，外国吸血鬼，可爱的小僵尸，成事不足败事有余的搞笑徒弟，林正英塑造了一个经典道士师傅。,4,推荐,0,0.999762963908849
"
                    2009-03-03 14:55:02
                ",干休所疗养中,可爱正太小僵尸····,3,还行,0,0.6248226588207886
"
                    2014-05-27 20:01:48
                ",大壶春真难吃,修女对付蝙蝠那段拍的太长了，而且很无聊，导致后面对付最终boss的戏份缩水,3,还行,0,0.10854290154473523
"
                    2021-07-30 21:45:29
                ",心如止水,佩服以前的片子，道具特效也太好了。武打也不错。连僵尸都有新意，洋僵尸+本土女鬼。女尸体也分洋土。还有吴君如，惊喜。小僵尸太可爱了。蝙蝠拍得也太真了。难道是拿真的拍的吗？虽然几乎没有主线，结束也是戛然而止，但是还是向以前的电影人致敬。太用心了，每一个桥段。,4,推荐,0,0.9999801057047563
"
                    2020-02-18 02:55:46
                ",穆如初,小僵尸太可爱了。结束得如此突然。！,4,推荐,0,0.49851551863258425
"
                    2013-01-14 11:28:51
                ",现任院士,三星,3,还行,0,0.280335414969485
"
                    2021-12-29 19:39:36
                ",木木三又二,补标，僵尸与吸血鬼的结合。7分。,4,推荐,0,0.614274756369361
"
                    2009-08-22 14:46:46
                ",Ivan,林正英+钱小豪，僵尸片最佳搭档。,3,还行,0,0.6279691039784491
"
                    2012-04-07 13:17:59
                ",我的名字叫向日葵,小僵尸好可爱,3,还行,0,0.8168427426547492
"
                    2013-10-30 21:21:49
                ",旅行者二号,养个粽子当宠物，小僵尸好萌。,3,还行,0,0.8897889827952505
"
                    2013-07-17 22:45:28
                ",C h r i s . W,带感~,4,推荐,0,0.745129357068597
"
                    2019-10-31 14:35:58
                ",布拉德痞特儿,挺有趣的，小僵尸真可爱,3,还行,0,0.9565479221315296
"
                    2017-11-30 10:09:29
                ",ピラミッド,中西结合,4,推荐,0,0.9411764705882353
"
                    2016-10-20 11:20:55
                ",烈焰红唇龙,中西结合，疗效好。,4,推荐,0,0.9919729822568354
"
                    2019-05-05 23:08:01
                ",qiufeng12ye,老的故事片还是很引人入胜滴,4,推荐,1,0.774099072710746
"
                    2010-04-04 19:50:03
                ",Dawn,小学四年级前很粉林正英……,4,推荐,0,0.9922764111133714
"
                    2013-08-26 04:15:33
                ",今生、唯爱,现在看来不恐怖，小时候被吓的不轻啊,3,还行,0,0.6486562567267612
"
                    2010-06-07 11:54:27
                ",夕夕姐姐,中间修女的一段笑死我了。,5,力荐,0,0.271534247356797
"
                    2012-04-06 08:45:13
                ",路风,吴君如一脸瓜相,4,推荐,0,0.9927515706559498
"
                    2014-02-08 11:09:58
                ",佛楼米,蹦蹦跳跳的小僵尸实在是太可爱了！！！,4,推荐,0,0.04913074739294143
"
                    2010-09-07 12:13:57
                ",六月十五小满,最爱林正英的僵尸片系列了~~,4,推荐,0,0.6170322327381267
"
                    2019-08-07 14:29:38
                ",Mosuli,这部片子最恐怖的情节，就是看到一群恐惧的修女虐杀蝙蝠。这么可爱的小动物，招谁惹谁了。,3,还行,0,0.9950198200963787
"
                    2012-07-15 13:24:01
                ",uUah,小僵尸挺萌,2,较差,1,0.8448499084893448
"
                    2014-05-25 16:48:06
                ",Moon_Child,小时候在舅舅家看的。。。,3,还行,0,0.8606582027491327
"
                    2018-11-29 08:32:45
                ",慕白,经典九叔片,5,力荐,1,0.8170403829398343
"
                    2013-12-10 12:00:26
                ",湖光,小时候吓尿系列。。。,5,力荐,0,0.6168314223986344
