电影名,评分,地区,地址,发布日期,评论人数
骗中骗,8.7,美国,https://movie.douban.com/subject/1292269/,1973-12-25,58145
鹿鼎记,8.3,中国香港,https://movie.douban.com/subject/1297223/,1992-07-30,346906
顽主,8.4,中国大陆,https://movie.douban.com/subject/1307690/,1989-09-15,99639
星际宝贝,8.6,美国,https://movie.douban.com/subject/1307547/,2002-06-16,73298
查理和巧克力工厂,8.3,美国,https://movie.douban.com/subject/1309101/,2005-07-15,532457
银河护卫队3,8.3,美国,https://movie.douban.com/subject/26258779/,2023-05-05,511943
亚当斯一家,8.5,美国,https://movie.douban.com/subject/1293718/,1991-11-22,100001
我的野蛮女友,8.3,韩国,https://movie.douban.com/subject/1292286/,2001-07-27,459912
怪兽大学,8.3,美国,https://movie.douban.com/subject/3789848/,2013-08-23,381389
乔乔的异想世界,8.3,美国,https://movie.douban.com/subject/30170546/,2020-07-31,346101
黑衣人,8.3,美国,https://movie.douban.com/subject/1301445/,1997-07-02,345242
里约大冒险,8.3,美国,https://movie.douban.com/subject/3731581/,2011-04-08,319038
西力传,9.0,美国,https://movie.douban.com/subject/1293846/,1983-07-15,32020
魔发奇缘,8.3,美国,https://movie.douban.com/subject/1863766/,2010-11-24,277894
马戏团,9.2,美国,https://movie.douban.com/subject/1299628/,1928-01-06,25145
阳光小美女,8.3,美国,https://movie.douban.com/subject/1777612/,2006-01-20,269354
普罗旺斯的夏天,8.4,法国,https://movie.douban.com/subject/25858604/,2014-04-02,127270
洗澡,8.4,中国大陆,https://movie.douban.com/subject/1303485/,1999-09-14,69764
冰川时代3,8.3,美国,https://movie.douban.com/subject/2357162/,2009-07-08,243528
心房客,8.5,法国,https://movie.douban.com/subject/26356789/,2015-10-07,81856
绅士们,8.3,英国,https://movie.douban.com/subject/30211998/,2019-12-03,231964
爱你，西蒙,8.3,美国,https://movie.douban.com/subject/26654498/,2018-03-16,229420
小情人,8.6,泰国,https://movie.douban.com/subject/1394488/,2003-08-01,60008
小羊肖恩,8.4,英国,https://movie.douban.com/subject/24397586/,2015-07-17,110824
蓝白红三部曲之白,8.4,法国,https://movie.douban.com/subject/1292049/,1994-01-26,110521
调音师,8.2,印度,https://movie.douban.com/subject/30334073/,2019-04-03,953983
食神,8.2,中国香港,https://movie.douban.com/subject/1293351/,1996-12-21,428923
奇怪的她,8.3,韩国,https://movie.douban.com/subject/24879820/,2014-01-22,186517
穿普拉达的女王,8.2,美国,https://movie.douban.com/subject/1482072/,2007-02-27,750054
