电影名,评分,地区,地址,发布日期,评论人数
国家公敌,8.2,美国,https://movie.douban.com/subject/1297544/,1998-11-20,116937
罗拉快跑,8.1,德国,https://movie.douban.com/subject/1292275/,1998-08-20,242685
菲利普船长,8.2,美国,https://movie.douban.com/subject/4116480/,2013-09-27,113214
康斯坦丁,8.1,美国,https://movie.douban.com/subject/1309021/,2005-02-18,239812
龙纹身的女孩,8.1,美国,https://movie.douban.com/subject/4206357/,2011-12-12,238010
黑暗面,8.1,哥伦比亚,https://movie.douban.com/subject/6536180/,2011-09-16,234730
未知死亡,8.2,印度,https://movie.douban.com/subject/3397503/,2008-12-25,109890
双重赔偿,8.5,美国,https://movie.douban.com/subject/1293226/,1944-07-03,42399
杀手,8.6,美国,https://movie.douban.com/subject/1293936/,1956-05-19,35071
喋血街头,8.2,中国香港,https://movie.douban.com/subject/1295344/,1990-08-17,55856
电锯惊魂3,8.1,美国,https://movie.douban.com/subject/1474189/,2006-10-27,180352
狗咬狗,8.1,中国香港,https://movie.douban.com/subject/1853160/,2006-08-17,99415
星月童话,8.2,中国香港,https://movie.douban.com/subject/1295284/,1999-04-01,51843
大开眼戒,8.1,英国,https://movie.douban.com/subject/1300275/,1999-07-16,166639
异形2,8.1,美国,https://movie.douban.com/subject/1293792/,1986-07-18,157787
虎胆龙威,8.2,美国,https://movie.douban.com/subject/1292697/,1988-07-20,85420
美国队长2,8.0,美国,https://movie.douban.com/subject/6390823/,2014-04-04,449169
迫在眉梢,8.3,美国,https://movie.douban.com/subject/1306439/,2002-02-15,59150
最终幻想7：圣子降临,8.3,日本,https://movie.douban.com/subject/1422063/,2005-08-31,59036
大佬,8.4,日本,https://movie.douban.com/subject/1294181/,2000-09-09,44523
局内人,8.1,韩国,https://movie.douban.com/subject/25862354/,2015-11-19,122097
大逃杀,8.0,日本,https://movie.douban.com/subject/1292444/,2000-12-16,222274
训练日,8.1,美国,https://movie.douban.com/subject/1304898/,2001-09-02,93415
危情三日,8.1,美国,https://movie.douban.com/subject/3808604/,2011-04-29,93099
微不足道,8.2,英国,https://movie.douban.com/subject/1937257/,2006-12-01,64023
405谋杀案,8.5,中国大陆,https://movie.douban.com/subject/1303698/,1980-05-11,17983
碟中谍5：神秘国度,7.9,美国,https://movie.douban.com/subject/10727641/,2015-09-08,334802
续命之徒：绝命毒师电影,8.1,美国,https://movie.douban.com/subject/30372377/,2019-10-11,85979
热血高校,8.0,日本,https://movie.douban.com/subject/2065021/,2007-10-27,146296
怒火救援,8.1,美国,https://movie.douban.com/subject/1309116/,2004-04-23,83038
地心引力,7.9,英国,https://movie.douban.com/subject/3793783/,2013-11-19,444784
死神来了,7.9,美国,https://movie.douban.com/subject/1300300/,2000-03-17,344433
群鸟,8.1,美国,https://movie.douban.com/subject/1310175/,1963-03-28,78053
疾速追杀2,7.9,美国,https://movie.douban.com/subject/26333560/,2017-02-10,180367
饥饿站台,7.9,西班牙,https://movie.douban.com/subject/34805219/,2019-09-06,322488
卑劣的街头,8.0,韩国,https://movie.douban.com/subject/1827713/,2006-06-15,110111
不良教育,8.3,西班牙,https://movie.douban.com/subject/1291878/,2004-03-19,41773
心慌方,7.9,加拿大,https://movie.douban.com/subject/1305903/,1997-09-09,223870
恐袭波士顿,8.0,美国,https://movie.douban.com/subject/26357945/,2017-11-17,105335
走到尽头,8.0,韩国,https://movie.douban.com/subject/25766529/,2014-05-18,103030
爱情是狗娘,8.2,墨西哥,https://movie.douban.com/subject/1292216/,2000-06-16,50850
疾速追杀3,7.9,美国,https://movie.douban.com/subject/26909790/,2019-05-17,205998
狙击电话亭,7.9,美国,https://movie.douban.com/subject/1303246/,2002-09-10,198781
夺魂索,8.1,美国,https://movie.douban.com/subject/1301230/,1948-08-28,66213
十一罗汉,7.9,美国,https://movie.douban.com/subject/1301578/,2001-12-07,191220
冰血暴,8.0,美国,https://movie.douban.com/subject/1292067/,1996-03-08,97927
金矿,8.2,美国,https://movie.douban.com/subject/7065334/,2016-12-29,49205
少数派报告,7.9,美国,https://movie.douban.com/subject/1297689/,2002-06-21,174109
裂缝,8.0,英国,https://movie.douban.com/subject/3007817/,2009-09-11,91842
本能,7.9,美国,https://movie.douban.com/subject/1291869/,1992-03-20,162962
活埋,7.9,西班牙,https://movie.douban.com/subject/3819877/,2010-10-01,155189
新警察故事,7.8,中国大陆,https://movie.douban.com/subject/1306160/,2004-09-24,341989
